paragraph	sentence	mid	title	start	end	notable_types
In order to be effective, learning institutions must see computers and associated technology as an essential part of the student. In other words, technology must be seen as cognitive prosthetics. The core concept of distance education is that the real world becomes the learning environment; in this environment, the purpose of the instructor is to help facilitate the absorption of knowledge through both real-world and virtual learning experiences. Historically, one of the obstacles to distance education is the lack of face to face contact. The use of technology as and integral part of course design has attempted to compensate in both synchronous and asynchronous settings.
For delivery of synchronous content, technologies such as videoconferencing and web conferencing are typically used. An example of this is the growing use of Skype and GoToMeeting for virtual class discussions and lectures.
For asynchronous content delivery, course designers use a variety of software suites that include various types of interactive elements. Programs such as WebCT, Knowledge Forum, FirstClass, Raptivity and Blackboard Learning System attempt to ameliorate the lack of contact with online discussion forums and bulletin boards.
It is essential that a knowledge-building community be allowed to develop in order for the learning to succeed.	Programs such as WebCT, Knowledge Forum, FirstClass, Raptivity and Blackboard Learning System attempt to ameliorate the lack of contact with online discussion forums and bulletin boards.	/m/026npk8	Knowledge_Forum	24	39	/computer/software
The QtParted team does not provide an official Live CD to use QtParted with. However, QtParted is included in Ark Linux Live (the Ark Linux team is currently maintaining QtParted), in the popular live Linux distribution Knoppix, on the Kubuntu live CD, in MEPIS, in NimbleX and in the Trinity Rescue Kit.	However, QtParted is included in Ark Linux Live (the Ark Linux team is currently maintaining QtParted), in the popular live Linux distribution Knoppix, on the Kubuntu live CD, in MEPIS, in NimbleX and in the Trinity Rescue Kit.	/m/0261zdl	Trinity_Rescue_Kit	208	226	/computer/software
In 1994, Chaum introduced the first in-person voting system, where voters would cast their ballots electronically at a polling station and cryptographically verify that the DRE did not modify their vote (or even learn what it was). The following years, Chaum proposed (often with others) a series a cryptographically verifiable voting systems that use conventional paper ballots: Pret a Voter, Punchscan, and Scantegrity. The city of Takoma Park, Maryland used Scantegrity for its November, 2009 election. This was the first time a public sector election was run using any cryptographically verifiable voting system.	The following years, Chaum proposed (often with others) a series a cryptographically verifiable voting systems that use conventional paper ballots: Pret a Voter, Punchscan, and Scantegrity.	/m/027_6hj	Punchscan	162	171	/computer/software
End-to-end auditable voting systems can provide the voter with a receipt that can be taken home. This receipt does not allow voters to prove to others how they voted, but it does allow them to verify that their vote is included in the tally, all votes were cast by valid voters, and the results are tabulated correctly. End-to-end (E2E) systems include Punchscan, ThreeBallot and Prêt à Voter. Scantegrity is an add-on that extends current optical scan voting systems with an E2E layer. The city of Takoma Park, Maryland used Scantegrity II for its November, 2009 election.	End-to-end (E2E) systems include Punchscan, ThreeBallot and Prêt à Voter.	/m/027_6hj	Punchscan	33	42	/computer/software
End-to-end auditable voting systems provide voters with a receipt to allow them to verify their vote was cast correctly, and an audit mechanism to verify that the results were tabulated correctly and all votes were cast by valid voters. However, the ballot receipt does not permit voters to prove to others how they voted, since this would open the door towards forced voting and blackmail. End-to-end systems include Punchscan and Scantegrity, the latter being an add-on to optical scan systems instead of a replacement.	End-to-end systems include Punchscan and Scantegrity, the latter being an add-on to optical scan systems instead of a replacement.	/m/027_6hj	Punchscan	27	36	/computer/software
Chaum has since developed Punchscan, which has stronger security properties and uses simpler paper ballots. The paper ballots are voted on and then a privacy-preserving portion of the ballot is scanned by an optical scanner.	Chaum has since developed Punchscan, which has stronger security properties and uses simpler paper ballots.	/m/027_6hj	Punchscan	26	35	/computer/software
Prêt à Voter was inspired by the earlier, voter-verifiable scheme by David Chaum. It replaces the visual cryptographic encoding the voter's choice in Chaum's scheme by the conceptually and technologically simpler candidate randomization. The Prêt à Voter idea of encoding the vote through permutations has subsequently been incorporated in Chaum's Punchscan scheme. However Punchscan uses a permutation of indirection symbols instead of candidate names allowing it to comply with voting laws that require a specific ordering of candidates. The first implementation of Prêt à Voter, by a team led by the University of Surrey, won Best Design, and overall second place at the 2007 University Voting Systems Competition, after the winning team, Punchscan, uncovered a security flaw in the random number generator portion of the Prêt à Voter source code  .	The Prêt à Voter idea of encoding the vote through permutations has subsequently been incorporated in Chaum's Punchscan scheme.	/m/027_6hj	Punchscan	110	119	/computer/software
Prêt à Voter was inspired by the earlier, voter-verifiable scheme by David Chaum. It replaces the visual cryptographic encoding the voter's choice in Chaum's scheme by the conceptually and technologically simpler candidate randomization. The Prêt à Voter idea of encoding the vote through permutations has subsequently been incorporated in Chaum's Punchscan scheme. However Punchscan uses a permutation of indirection symbols instead of candidate names allowing it to comply with voting laws that require a specific ordering of candidates. The first implementation of Prêt à Voter, by a team led by the University of Surrey, won Best Design, and overall second place at the 2007 University Voting Systems Competition, after the winning team, Punchscan, uncovered a security flaw in the random number generator portion of the Prêt à Voter source code  .	However Punchscan uses a permutation of indirection symbols instead of candidate names allowing it to comply with voting laws that require a specific ordering of candidates.	/m/027_6hj	Punchscan	8	17	/computer/software
Prêt à Voter was inspired by the earlier, voter-verifiable scheme by David Chaum. It replaces the visual cryptographic encoding the voter's choice in Chaum's scheme by the conceptually and technologically simpler candidate randomization. The Prêt à Voter idea of encoding the vote through permutations has subsequently been incorporated in Chaum's Punchscan scheme. However Punchscan uses a permutation of indirection symbols instead of candidate names allowing it to comply with voting laws that require a specific ordering of candidates. The first implementation of Prêt à Voter, by a team led by the University of Surrey, won Best Design, and overall second place at the 2007 University Voting Systems Competition, after the winning team, Punchscan, uncovered a security flaw in the random number generator portion of the Prêt à Voter source code  .	The first implementation of Prêt à Voter, by a team led by the University of Surrey, won Best Design, and overall second place at the 2007 University Voting Systems Competition, after the winning team, Punchscan, uncovered a security flaw in the random number generator portion of the Prêt à Voter source code  .	/m/027_6hj	Punchscan	202	211	/computer/software
Optical scan voting systems produce an electronic tally, while maintaining the original paper ballots which can be rescanned or manually hand-counted to provide an ostensibly corroborative tally. However, the correctness of each of these tallies requires the voter to either trust that the software is error-free and has not been hacked, or that the physical chain-of-custody of the ballots has not been broken at any point. Other E2E voting systems such as Punchscan and ThreeBallot, address these issues but require existing polling place equipment and procedures to be greatly altered or replaced. In contrast, Scantegrity is an add-on meant to be used in conjunction with existing optical scan equipment, thereby requiring fewer hardware and software and procedural modifications.	Other E2E voting systems such as Punchscan and ThreeBallot, address these issues but require existing polling place equipment and procedures to be greatly altered or replaced.	/m/027_6hj	Punchscan	33	42	/computer/software
After the election, the trustees generate an independent tally from the voter-verifiable list of ballots and confirmation codes. Since the link between a confirmation code and the candidate voted for must remain secret, the tally is generated using an anonymity-preserving backend. Many such backends have been proposed for tallying votes, including the ones used by Punchscan and Prêt à Voter. Steps in the tally can be recalculated by anyone to ensure its correctness. For this reason, the system is more accurately described as mathematical voting than electronic voting. The security of the system does not require any software to operate correctly, only that the mathematical operations are independently corroborated by all interested parties.	Many such backends have been proposed for tallying votes, including the ones used by Punchscan and Prêt à Voter.	/m/027_6hj	Punchscan	85	94	/computer/software
DVArchive stores TV programs on the PC in the same slightly non-standard MPEG2 format used by the ReplayTV PVR. Users may wish to edit these files and burn them onto video DVDs. Fortunately the Replay MPEG2 format is understood by a number of widely used MPEG editors, including MPEG Streamclip, a free graphical editor which runs on both Windows-PCs and Macs. MPEG Streamclip can quickly cut and paste segments of video without re-encoding and save the edited file as a standard-format MPEG2 file, or transcode it into another video format. The preference "fix streams with data breaks" should be enabled in MPEG Streamclip. There are also several DVD authoring programs that directly support MPEG2 inputs and minimize reformatting in converting them into DVD outputs. Inexpensive examples include the well regarded Roxio commercial products Easy Media Creator 8 and MyDVD 8 for Windows and Toast 7 for Macs.	Fortunately the Replay MPEG2 format is understood by a number of widely used MPEG editors, including MPEG Streamclip, a free graphical editor which runs on both Windows-PCs and Macs.	/m/02qh1dl	MPEG_Streamclip	101	116	/computer/software
DVArchive stores TV programs on the PC in the same slightly non-standard MPEG2 format used by the ReplayTV PVR. Users may wish to edit these files and burn them onto video DVDs. Fortunately the Replay MPEG2 format is understood by a number of widely used MPEG editors, including MPEG Streamclip, a free graphical editor which runs on both Windows-PCs and Macs. MPEG Streamclip can quickly cut and paste segments of video without re-encoding and save the edited file as a standard-format MPEG2 file, or transcode it into another video format. The preference "fix streams with data breaks" should be enabled in MPEG Streamclip. There are also several DVD authoring programs that directly support MPEG2 inputs and minimize reformatting in converting them into DVD outputs. Inexpensive examples include the well regarded Roxio commercial products Easy Media Creator 8 and MyDVD 8 for Windows and Toast 7 for Macs.	MPEG Streamclip can quickly cut and paste segments of video without re-encoding and save the edited file as a standard-format MPEG2 file, or transcode it into another video format.	/m/02qh1dl	MPEG_Streamclip	0	15	/computer/software
DVArchive stores TV programs on the PC in the same slightly non-standard MPEG2 format used by the ReplayTV PVR. Users may wish to edit these files and burn them onto video DVDs. Fortunately the Replay MPEG2 format is understood by a number of widely used MPEG editors, including MPEG Streamclip, a free graphical editor which runs on both Windows-PCs and Macs. MPEG Streamclip can quickly cut and paste segments of video without re-encoding and save the edited file as a standard-format MPEG2 file, or transcode it into another video format. The preference "fix streams with data breaks" should be enabled in MPEG Streamclip. There are also several DVD authoring programs that directly support MPEG2 inputs and minimize reformatting in converting them into DVD outputs. Inexpensive examples include the well regarded Roxio commercial products Easy Media Creator 8 and MyDVD 8 for Windows and Toast 7 for Macs.	The preference "fix streams with data breaks" should be enabled in MPEG Streamclip.	/m/02qh1dl	MPEG_Streamclip	67	82	/computer/software
The Apple Intermediate Codec is available only on the Mac OS X platform and cannot be read on other platforms to date such as Windows or Linux. All Mac OS X software which makes use of the QuickTime codec libraries - primarily Final Cut Studio, Final Cut Express, and iMovie, but also freeware such as MPEG Streamclip - can use the Apple Intermediate codec.	All Mac OS X software which makes use of the QuickTime codec libraries - primarily Final Cut Studio, Final Cut Express, and iMovie, but also freeware such as MPEG Streamclip - can use the Apple Intermediate codec.	/m/02qh1dl	MPEG_Streamclip	158	173	/computer/software
ReiserFS is a general-purpose, journaled computer file system designed and implemented by a team at Namesys led by Hans Reiser. ReiserFS is currently supported on Linux (without quota support). Introduced in version 2.4.1 of the Linux kernel, it was the first journaling file system to be included in the standard kernel. ReiserFS is the default file system on the Elive, Xandros, Linspire, GoboLinux, and Yoper Linux distributions. ReiserFS was the default file system in Novell's SUSE Linux Enterprise until Novell decided to move to ext3 on October 12, 2006 for future releases.	ReiserFS is the default file system on the Elive, Xandros, Linspire, GoboLinux, and Yoper Linux distributions.	/m/02fqf9	YOPER	84	89	/computer/operating_system,/computer/software
Other shells add capabilities beyond those in the basic interpreter, including IDLE and IPython. While generally following the visual style of the Python shell, they implement features like auto-completion, retention of session state, and syntax highlighting.	Other shells add capabilities beyond those in the basic interpreter, including IDLE and IPython.	/m/02qrxkt	IDLE_(Python)	79	83	/computer/software
Several allusions are made to the British comedy group Monty Python, which the Python programming language is named after. Eric alludes to Eric Idle, a member of the group, and IDLE (Python), the standard python IDE shipped with most distributions.	Eric alludes to Eric Idle, a member of the group, and IDLE (Python), the standard python IDE shipped with most distributions.	/m/02qrxkt	IDLE_(Python)	54	67	/computer/software
One of the key features of the client is its ability to suspend outcoming data until GPRS coverage is available. It also suspend the status of the user, while all other mobile clients (Jimm, for instance) usually report connection problem and drop user out.	It also suspend the status of the user, while all other mobile clients (Jimm, for instance) usually report connection problem and drop user out.	/m/028850g	Jimm	72	76	/computer/software
Adium makes use of a plugin architecture; many of the program's essential features are actually provided by plugins bundled inside the application package. These plugins include functionality such as file transfer, support for the Growl notifications system, Sparkle for program updates, and support for encrypted messaging with the Off-the-Record Messaging library.	These plugins include functionality such as file transfer, support for the Growl notifications system, Sparkle for program updates, and support for encrypted messaging with the Off-the-Record Messaging library.	/m/027nz2l	Sparkle_(software)	103	110	/computer/software
Many third party operating systems have been developed for the C64. As well as the original GEOS, two third-party GEOS-compatible systems have been written: Wheels and GEOS megapatch. Both of these require hardware upgrades to the original C64. Several other operating systems are or have been available, including WiNGS OS, the Unix-like LUnix, operated from a command-line, and the embedded systems OS Contiki, with full GUI. Other less well known OSes include ACE, Asterix, DOS/65 and GeckOS.	Other less well known OSes include ACE, Asterix, DOS/65 and GeckOS.	/m/02rttk0	GeckOS	60	66	/computer/operating_system,/computer/software
GeckOS is a related UNIX-like operating system for the 6502, offering binary compatibility with LUnix when linked to lib6502	GeckOS is a related UNIX-like operating system for the 6502, offering binary compatibility with LUnix when linked to lib6502	/m/02rttk0	GeckOS	0	6	/computer/operating_system,/computer/software
Since 2000, many personal computers include basic non-linear video editing software free of charge. This is the case of Apple iMovie for the Macintosh platform, various open source programs like Kdenlive and PiTiVi for the Linux platform, and Windows Movie Maker for the Windows platform. This phenomenon has brought low-cost non-linear editing to consumers.	This is the case of Apple iMovie for the Macintosh platform, various open source programs like Kdenlive and PiTiVi for the Linux platform, and Windows Movie Maker for the Windows platform.	/m/02rxc1x	Kdenlive	95	103	/computer/software
ActiveSync allows a mobile device to be synchronized with either a desktop PC or a server running a compatible software product including Microsoft Exchange Server, Atmail, Axigen, Horde, Kerio Connect, Kolab, MDaemon Messaging Server, Novell GroupWise, Tine 2.0, Scalix, Zimbra or Z-push.	ActiveSync allows a mobile device to be synchronized with either a desktop PC or a server running a compatible software product including Microsoft Exchange Server, Atmail, Axigen, Horde, Kerio Connect, Kolab, MDaemon Messaging Server, Novell GroupWise, Tine 2.0, Scalix, Zimbra or Z-push.	/m/03cmxq1	Z-push	282	288	/computer/software
Zarafa initiated a project called Z-push in October 2007. It supports ActiveSync compatible devices (Symbian, Pocket PC, iPhone (firmware 2.0 and higher), Android (version 2.1 and higher), Nokia (mail4Exchange)) implementing the ActiveSync protocol and using the Incremental Change System (ICS) provided by the PHP-MAPI extension.	Zarafa initiated a project called Z-push in October 2007.	/m/03cmxq1	Z-push	34	40	/computer/software
Some versions of CoolWebSearch can be installed through drive-by installation, in which a computer browsing a webpage automatically installs CWS. CWS itself attempts to evade others by not labelling its ads, not providing an EULA, not providing any data about itself and not having a website. Certain variants insert links on random text, leading to advertiser websites. Other attempts to access websites are redirected to pay-per-click search engines that may install more malware display ads. Some variants of CWS also add links to pornography and gambling sites to the user's Desktop, Internet Explorer's bookmarks and history. Certain versions attempt to edit users' trusted sites and modify security settings as well as to hide from removal programs. Variants are often named for the effects they have such as msconfig, Msoffice, Mupdate, Msinfo and Svchost32.	Variants are often named for the effects they have such as msconfig, Msoffice, Mupdate, Msinfo and Svchost32.	/m/025yfdb	MSConfig	59	67	/computer/software
Sesame's API differs from comparable solutions in that it offers a stackable interface through which functionality can be added, and in that the storage engine is abstracted from the query interface. Many other triplestores can be used through the Sesame API, including Mulgara, and AllegroGraph. Through the stackable interface, functionality can be added to all of these stores. It can, for example, be used to add indexing and query capabilities to all compatible stores:	Many other triplestores can be used through the Sesame API, including Mulgara, and AllegroGraph.	/m/0bmgpvq	AllegroGraph	83	95	/base/database/database,/computer/software,/influence/influence_node
A shader written in RSL can be used without changes on any RenderMan-compliant renderer, such as Pixar's PhotoRealistic RenderMan, DNA Research's 3Delight, Sitexgraphics' Air or an open source solution such as Pixie or Aqsis.	A shader written in RSL can be used without changes on any RenderMan-compliant renderer, such as Pixar's PhotoRealistic RenderMan, DNA Research's 3Delight, Sitexgraphics' Air or an open source solution such as Pixie or Aqsis.	/m/0c3ls1	Aqsis	219	224	/computer/software
drqman is the GUI used to control jobs. Typical tasks are to reprioritize jobs, stop them, restart specific frames, change frames to be rendered and so on. It has direct control of Maya, Mental Ray, Blender, XSI, Lightwave, Mantra (in Houdini), Turtle (Illuminate Labs), BMRT, Shake, After Effects, Aqsis, Nuke, Terragen, 3Delight, and Pixie	It has direct control of Maya, Mental Ray, Blender, XSI, Lightwave, Mantra (in Houdini), Turtle (Illuminate Labs), BMRT, Shake, After Effects, Aqsis, Nuke, Terragen, 3Delight, and Pixie	/m/0c3ls1	Aqsis	143	148	/computer/software
Recently this style of layout has been adopted by "builders" in the Groovy language for the JVM, but is also familiar to users of CSS or Tcl/Tk. Most features for web applications now implemented through combinations of JavaScript libraries + HTML + CSS are already found within the Curl language, including features usually associated with Prototype + script.aculo.us such as accordion panes.	Most features for web applications now implemented through combinations of JavaScript libraries + HTML + CSS are already found within the Curl language, including features usually associated with Prototype + script.aculo.us such as accordion panes.	/m/0cbry4	Script.aculo.us	208	223	/computer/software
OS X v10.8 "Mountain Lion" was released on July 25, 2012. It incorporates some features seen in iOS 5, which include Game Center, support for iMessage in the new Messages messaging application, and Reminders as a to-do list app separate from iCal (which is renamed as Calendar, like the iOS app). It also includes support for storing iWork documents in iCloud. Notification Center, which makes its debut in Mountain Lion, is a desktop version similar to the one in iOS 5.0 and higher. Application pop-ups are now concentrated on the corner of the screen, and the Center itself is pulled from the right side of the screen. Mountain Lion also includes more Chinese features including support for Baidu as an option for Safari search engine, QQ, 163.com and 126.com services for Mail, Contacts and Calendar, Youku, Tudou and Sina Weibo are integrated into share sheets.	It incorporates some features seen in iOS 5, which include Game Center, support for iMessage in the new Messages messaging application, and Reminders as a to-do list app separate from iCal (which is renamed as Calendar, like the iOS app).	/m/0h7lcq5	IMessage	84	92	/computer/software
OS X v10.8 "Mountain Lion" was released on July 25, 2012. It incorporates some features seen in iOS 5, which include Game Center, support for iMessage in the new Messages messaging application, and Reminders as a to-do list app separate from iCal (which is renamed as Calendar, like the iOS app). It also includes support for storing iWork documents in iCloud. Notification Center, which makes its debut in Mountain Lion, is a desktop version similar to the one in iOS 5.0 and higher. Application pop-ups are now concentrated on the corner of the screen, and the Center itself is pulled from the right side of the screen. Mountain Lion also includes more Chinese features including support for Baidu as an option for Safari search engine, QQ, 163.com and 126.com services for Mail, Contacts and Calendar, Youku, Tudou and Sina Weibo are integrated into share sheets.	It incorporates some features seen in iOS 5, which include Game Center, support for iMessage in the new Messages messaging application, and Reminders as a to-do list app separate from iCal (which is renamed as Calendar, like the iOS app).	/m/0h7lcq5	IMessage	84	92	/computer/software
As with its predecessor, Messages has text messaging, audio, and screen-sharing capabilities. Messages also contains native video conversation support, utilising Apple's FaceTime video calling application where possible. However, it does retain video capabilities for interfacing with other instant messaging clients. Messages supports Apple's iMessage, a free instant messaging service previously only available on devices running iOS 5. It also supports both XMPP (shown in the application under its former name, Jabber) and the AIM OSCAR. In addition, it also offers a direct connection to Yahoo! Messenger and Google Talk.	Messages supports Apple's iMessage, a free instant messaging service previously only available on devices running iOS 5.	/m/0h7lcq5	IMessage	26	34	/computer/software
Wietse Zweitze Venema (born 1951) is a Dutch programmer and physicist best known for writing the Postfix email system. He also wrote TCP Wrapper and collaborated with Dan Farmer and Samuel Johnson to produce the computer security tools SATAN and The Coroner's Toolkit.	He also wrote TCP Wrapper and collaborated with Dan Farmer and Samuel Johnson to produce the computer security tools SATAN and The Coroner's Toolkit.	/m/07dx2r	Security_Administrator_Tool_for_Analyzing_Networks	117	122	/computer/software
One of the first instances of an ethical hack being used was a "security evaluation" conducted by the United States Air Force of the Multics operating systems for "potential use as a two-level (secret/top secret) system." Their evaluation found that while Multics was "significantly better than other conventional systems," it also had "... vulnerabilities in hardware security, software security and procedural security" that could be uncovered with "a relatively low level of effort." The authors performed their tests under a guideline of realism, so that their results would accurately represent the kinds of access that an intruder could potentially achieve. They performed tests that were simple information-gathering exercises, as well as other tests that were outright attacks upon the system that might damage its integrity. Clearly, their audience wanted to know both results. There are several other now unclassified reports that describe ethical hacking activities within the U.S. military. The idea to bring this tactic of ethical hacking to assess security of systems was formulated by Dan Farmer and Wietse Venema. With the goal of raising the overall level of security on the Internet and intranets, they proceeded to describe how they were able to gather enough information about their targets to have been able to compromise security if they had chosen to do so. They provided several specific examples of how this information could be gathered and exploited to gain control of the target, and how such an attack could be prevented. They gathered up all the tools that they had used during their work, packaged them in a single, easy-to-use application, and gave it away to anyone who chose to download it. Their program, called Security Administrator Tool for Analyzing Networks, or SATAN, was met with a great amount of media attention around the world in 1992.	Their program, called Security Administrator Tool for Analyzing Networks, or SATAN, was met with a great amount of media attention around the world in 1992.	/m/07dx2r	Security_Administrator_Tool_for_Analyzing_Networks	22	72	/computer/software
Dan Farmer (born April 5, 1962) is an American computer security researcher. In 1995, Farmer and Wietse Venema created Security Administrator Tool for Analyzing Networks (SATAN), one of the earliest network based vulnerability scanners. In a summer course in 1989, in order to graduate from Purdue University he started the development of the COPS program for identifying security issues on Unix systems under Gene Spafford, first releasing it after leaving Purdue in late 1989.	In 1995, Farmer and Wietse Venema created Security Administrator Tool for Analyzing Networks (SATAN), one of the earliest network based vulnerability scanners.	/m/07dx2r	Security_Administrator_Tool_for_Analyzing_Networks	42	92	/computer/software
COPS was the forerunner of the SATAN network security scan tool. COPS is generally considered obsolete, but it is not uncommon to find systems which are set up in an insecure manner that COPS will identify.	COPS was the forerunner of the SATAN network security scan tool.	/m/07dx2r	Security_Administrator_Tool_for_Analyzing_Networks	31	36	/computer/software
The SAINT (Security Administrator's Integrated Network Tool) network vulnerability scanner was based on SATAN (Security Administrators Tool for Analyzing Networks) which was developed by Dan Farmer and Wietse Venema and released in 1995. SAINT Corporation (formerly World Wide Digital Security, Inc. (WWDSI)) continued development and released SAINT in July 1998. WWDSI changed its name to SAINT Corporation in January 2002.	The SAINT (Security Administrator's Integrated Network Tool) network vulnerability scanner was based on SATAN (Security Administrators Tool for Analyzing Networks) which was developed by Dan Farmer and Wietse Venema and released in 1995.	/m/07dx2r	Security_Administrator_Tool_for_Analyzing_Networks	104	109	/computer/software
Node-based compositing represents an entire composite as a tree graph, linking media objects and effects in a procedural map, intuitively laying out the progression from source input to final output, and is in fact the way all compositing applications internally handle composites. This type of compositing interface allows great flexibility, including the ability to modify the parameters of an earlier image processing step "in context" (while viewing the final composite). Node-based compositing packages often handle keyframing and time effects poorly, as their workflow does not stem directly from a timeline, as do layer-based compositing packages. Software which incorporates a node based interface include Apple Shake, Blender, eyeon Fusion, and The Foundry's Nuke.	Software which incorporates a node based interface include Apple Shake, Blender, eyeon Fusion, and The Foundry's Nuke.	/m/0l1qq	Blender_(software)	72	79	/computer/software
Python has been successfully embedded in a number of software products as a scripting language, including in finite element method software such as Abaqus, 3D animation packages such as Blender, Cinema 4D, Lightwave, Houdini, Maya, modo, MotionBuilder, Softimage, the visual effects compositor Nuke, and 2D imaging programs like GIMP, Inkscape, Scribus and Paint Shop Pro. GNU Debugger uses Python as a pretty printer to show complex structures such as C++ containers. Esri is now promoting Python as the best choice for writing scripts in ArcGIS. It has even been used in several video games, and has been adopted as first of the three available programming languages in Google App Engine, the other two being Java and Go.	Python has been successfully embedded in a number of software products as a scripting language, including in finite element method software such as Abaqus, 3D animation packages such as Blender, Cinema 4D, Lightwave, Houdini, Maya, modo, MotionBuilder, Softimage, the visual effects compositor Nuke, and 2D imaging programs like GIMP, Inkscape, Scribus and Paint Shop Pro.	/m/0l1qq	Blender_(software)	186	193	/computer/software
Other uses for SVG include embedding for use in word processing (e.g. with LibreOffice) and desktop publishing (e.g., Scribus), plotting graphs (e.g., gnuplot), and importing paths (e.g., for use in GIMP or Blender).	with LibreOffice) and desktop publishing (e.g., Scribus), plotting graphs (e.g., gnuplot), and importing paths (e.g., for use in GIMP or Blender).	/m/0l1qq	Blender_(software)	137	144	/computer/software
Finally, 3D computer graphics software such as Maya, Blender or 3D Studio Max can also be thought of as an extension of the traditional 2D vector editors, as they share some common concepts and tools.	Finally, 3D computer graphics software such as Maya, Blender or 3D Studio Max can also be thought of as an extension of the traditional 2D vector editors, as they share some common concepts and tools.	/m/0l1qq	Blender_(software)	53	60	/computer/software
