paragraph	sentence	mid	title	start	end	notable_types
The school and agency's first major success came in the early 1990s with Judit Mascó, who became the first Spanish model to be featured on the cover of the Sports Illustrated Swimsuit Issue. Mestre also represents international models such as Fernanda Tavares, Jeisa Chiminazzo, Tiiu Kuik, and Cintia Dicker.	Mestre also represents international models such as Fernanda Tavares, Jeisa Chiminazzo, Tiiu Kuik, and Cintia Dicker.	/m/0bxrsd	Tiiu_Kuik	88	97	/base/fashionmodels/fashion_model,/film/person_or_entity_appearing_in_film,/people/person
To celebrate its tenth cycle, ANTM aired a special installment called America's Next Top Model: Exposed in two parts on the CW on Wednesday, February 6 & 13, 2008. It reviewed the best cat fights, mishaps and most memorable photoshoots, personalities, defining moments and contained other segments about the show since Cycles 1 to 9, and featured a special opening fusing all three openings together. Camille McDonald (Cycles 2 and 17), Toccara Jones (Cycle 3), Eva Pigford (Cycle 3 winner), Bre Scullark (Cycles 5 and 17), Cassandra Whitehead (Cycle 5), Joanie Dodds (Cycle 6), Jael Strauss (Cycle 8), Dionne Walters (Cycle 8), Heather Kuzmich (Cycle 9), and Bianca Golden (Cycles 9 and 17) all returned to comment on events that happened in their or other cycles.	Camille McDonald (Cycles 2 and 17), Toccara Jones (Cycle 3), Eva Pigford (Cycle 3 winner), Bre Scullark (Cycles 5 and 17), Cassandra Whitehead (Cycle 5), Joanie Dodds (Cycle 6), Jael Strauss (Cycle 8), Dionne Walters (Cycle 8), Heather Kuzmich (Cycle 9), and Bianca Golden (Cycles 9 and 17) all returned to comment on events that happened in their or other cycles.	/m/03d7c7s	Heather_Kuzmich	228	243	/base/fashionmodels/fashion_model,/medicine/notable_person_with_medical_condition,/people/person,/tv/tv_actor
Throughout his career, Valentino has been deeply inspired by many glamorous women. Some of them have become very close friends, making up what is referred to as the Valentino's "family." This includes Spanish socialites Nati Abascal, a former model who was married to the Duke of Feria, and Rosario Nadal, the ex-wife of Kyrill, Prince of Preslav. Valentino met Nati Abascal in 1968 at a party when she was a 19-year-old model and brought her to Capri. Rosario of Bulgaria met Valentino in her native Majorca in the 1990s via Carlos Souza at a club. Another close friend of Valentino is his former PR French-Brazilian Georgina Brandolini, who worked for Valentino for 18 years before leaving for Balmain and ultimately starting her own fashion career.	" This includes Spanish socialites Nati Abascal, a former model who was married to the Duke of Feria, and Rosario Nadal, the ex-wife of Kyrill, Prince of Preslav.	/m/03c6062	Nati_Abascal	35	47	/film/actor,/film/person_or_entity_appearing_in_film,/people/person
Throughout his career, Valentino has been deeply inspired by many glamorous women. Some of them have become very close friends, making up what is referred to as the Valentino's "family." This includes Spanish socialites Nati Abascal, a former model who was married to the Duke of Feria, and Rosario Nadal, the ex-wife of Kyrill, Prince of Preslav. Valentino met Nati Abascal in 1968 at a party when she was a 19-year-old model and brought her to Capri. Rosario of Bulgaria met Valentino in her native Majorca in the 1990s via Carlos Souza at a club. Another close friend of Valentino is his former PR French-Brazilian Georgina Brandolini, who worked for Valentino for 18 years before leaving for Balmain and ultimately starting her own fashion career.	Valentino met Nati Abascal in 1968 at a party when she was a 19-year-old model and brought her to Capri.	/m/03c6062	Nati_Abascal	14	26	/film/actor,/film/person_or_entity_appearing_in_film,/people/person
Don Rafael de Medina y Abascal, 20th Duke of Feria, Grandee of Spain (Spanish pronunciation: ) (born 25 September 1978) is the son of the late 19th Duke of Feria and the Spanish top-model Nati Abascal. He belongs to one of the most important families of Spain, the House of Medinaceli, being grandson of Victoria Eugenia Fernández de Córdoba, 18th Duchess of Medinaceli, and is a descendant of King Ferdinand I of Aragon.	Don Rafael de Medina y Abascal, 20th Duke of Feria, Grandee of Spain (Spanish pronunciation: ) (born 25 September 1978) is the son of the late 19th Duke of Feria and the Spanish top-model Nati Abascal.	/m/03c6062	Nati_Abascal	188	200	/film/actor,/film/person_or_entity_appearing_in_film,/people/person
On September 3, 2012 she released her first book - Naima Mora's Model Behavior - an iBook on iTunes, a 70 page multi-media book as part of her new Model Life Series (TM), published by Possibility Publishing & Entertainment. She has been seen on television as a guest on The Tyra Banks Show, on the second season premiere of Veronica Mars, and in a CoverGirl commercial with Yoanna House.	She has been seen on television as a guest on The Tyra Banks Show, on the second season premiere of Veronica Mars, and in a CoverGirl commercial with Yoanna House.	/m/05vlny	Yoanna_House	150	162	/base/fashionmodels/fashion_model,/people/person,/tv/tv_actor,/tv/tv_personality
The Look for Less is a television show airing on the Style Network. Previously hosted by Survivor: The Australian Outback contestant Elisabeth Hasselbeck, the current host is America's Next Top Model winner Yoanna House. Yoanna was one of thirteen contestants on America's Next Top Model, Cycle Two. In most episodes, a person must shop with a fashion stylist to recreate a runway outfit with a set budget (ex: $150) in under an hour.	Previously hosted by Survivor: The Australian Outback contestant Elisabeth Hasselbeck, the current host is America's Next Top Model winner Yoanna House.	/m/05vlny	Yoanna_House	139	151	/base/fashionmodels/fashion_model,/people/person,/tv/tv_actor,/tv/tv_personality
Before Nuru won Germany's Next Topmodel, she already had the opportunity to gain experiences as a model for friendly designers, after she was approached by a photographer when she was 15 years old. She appeared in a fashion show held in Dresden which also featured cycle 3's winner Jennifer Hof.	She appeared in a fashion show held in Dresden which also featured cycle 3's winner Jennifer Hof.	/m/04f18kc	Jennifer_Hof	84	96	/base/fashionmodels/fashion_model,/people/person
The show is hosted by Shiraz Tal, an Israeli model.	The show is hosted by Shiraz Tal, an Israeli model.	/m/0g0r5v	Shiraz_Tal	22	32	/base/fashionmodels/fashion_model,/people/person,/tv/tv_actor
The premiere episode of Project Runway Israel showed host Shiraz Tal introducing the thirteen designers. The designers were given their first challenge: design a dress inspired by one of Rita Kleinstein's songs. The designers made their way to their new home and studio where they began to work. At the studio, drama occurred when Meshie found it hard to design her dress and asked for help. When contestants helped her, she caused trouble and they got mad at her for her poor attitude. At the end of the 48 hour time limit, the models walked the runway in front of the judges. Tao disappointed the judges and was eliminated.	The premiere episode of Project Runway Israel showed host Shiraz Tal introducing the thirteen designers.	/m/0g0r5v	Shiraz_Tal	58	68	/base/fashionmodels/fashion_model,/people/person,/tv/tv_actor
"CWAGs" (Cricket Wives and Girlfriends) was applied to partners of the England cricket team in the series of test matches against Australia that began in Brisbane, Queensland in November 2006: for example, "Jessica the Cwag knocks Ashes Test crowd for six" (the subject of this headline being singer Jessica Taylor, of the group Liberty X, fiancée of batsman and occasional off-spinner Kevin Pietersen). Although "CWAG" (rather than "WAG") was not used all that widely, there were predictable claims after England had lost the series 5–0 that the presence of wives and girlfriends had undermined the cohesion of the touring party. "WAG" had previously been applied in the context of cricket: for example to model Minki van der Westhuizen, who had been associated with the South African captain, Graeme Smith.	"WAG" had previously been applied in the context of cricket: for example to model Minki van der Westhuizen, who had been associated with the South African captain, Graeme Smith.	/m/05zwkhq	Minki_van_der_Westhuizen	82	106	/award/ranked_item,/base/fashionmodels/fashion_model,/film/actor,/people/person
Quincy Delight Jones III was born in Wimbledon, London, the son of American music producer Quincy Jones (who is African-American by ethnicity) and Swedish model Ulla Andersson. He has six sisters; one full, Martina, and five half-sisters by his father, including actresses Kidada and Rashida Jones. He also has two children named Quincy Renzo Delight Jones IV & Nea Jones.	Quincy Delight Jones III was born in Wimbledon, London, the son of American music producer Quincy Jones (who is African-American by ethnicity) and Swedish model Ulla Andersson.	/m/07fknl	Ulla_Andersson	161	175	/film/actor,/film/film_crewmember,/people/person
In February 2013 she appeared on the cover of one of the four issues of Vogue Brasil, together with Bette Franke, Magdalena Frackowiak, and Mirte Maas.	In February 2013 she appeared on the cover of one of the four issues of Vogue Brasil, together with Bette Franke, Magdalena Frackowiak, and Mirte Maas.	/m/02y_n_m	Bette_Franke	100	112	/base/fashionmodels/fashion_model,/people/person
In 2007 Koponen appeared in five editorials for French, British, Italian, and American Vogue. She became the face of Balenciaga fall campaign and replaced Natalia Vodianova as the face of the Calvin Klein collection. In February 2007 she walked the runways for Chanel, Hermès, Jil Sander, and Nina Ricci, among others. She appeared on cover of French Vogue Beaute and opened the Jill Stuart, Marc by Marc Jacobs, and Marni fashion shows and closed the Nina Ricci show in Paris. She appeared on cover of Dazed & Confused in April 2007. In fall 2007 she became the face of Blumarine spring ad-campaign alongside Bette Franke and starred in the Mulberry fall ad-campaign alongside Caroline Trentini. In fall 2008 Suvi was the face of Calvin Klein in a campaign shot by Fabien Baron.	In fall 2007 she became the face of Blumarine spring ad-campaign alongside Bette Franke and starred in the Mulberry fall ad-campaign alongside Caroline Trentini.	/m/02y_n_m	Bette_Franke	75	87	/base/fashionmodels/fashion_model,/people/person
Brazil first entered the international fashion circuit with the increasing reputation of famous Brazilian top models such as Isabeli Fontana, Adriana Lima, Gisele Bündchen, Alessandra Ambrosio, Fernanda Tavares, Ana Beatriz Barros, Izabel Goulart, Brenda Costa, Ana Hickmann and Evandro Soldati and designer Alexandre Herchcovitch.	Brazil first entered the international fashion circuit with the increasing reputation of famous Brazilian top models such as Isabeli Fontana, Adriana Lima, Gisele Bündchen, Alessandra Ambrosio, Fernanda Tavares, Ana Beatriz Barros, Izabel Goulart, Brenda Costa, Ana Hickmann and Evandro Soldati and designer Alexandre Herchcovitch.	/m/0c2hjj	Brenda_Costa	248	260	/base/fashionmodels/fashion_model,/people/person
After What Not to Wear, Woodall and Constantine transferred from the BBC to ITV for a deal worth £1.2 million. While What Not to Wear was taken over by Lisa Butcher and Mica Paris, Woodall and Constantine began their new television show, Trinny & Susannah Undress..., on 3 October 2006. The first two series saw them helping couples who were experiencing difficulties in their marriages, by giving advice and a fashion makeover to increase confidence. Woodall spoke of her excitement to be addressing the fashion problems of men for the first time, a personal highlight being that "it gives men permission to take an interest in clothes and their appearance." The show exposed the duo to criticism questioning whether they were qualified to deal with some of the serious issues raised. Woodall commented "I think it's great that it's caused a reaction. But at the same time I think the people who are criticising us haven't really watched the show. We are not claiming to be marriage guidance people, or anything." The third series on ITV took a different format, tackling the main fashion issues present in Britain, under the new name of Trinny & Susannah Undress The Nation.	While What Not to Wear was taken over by Lisa Butcher and Mica Paris, Woodall and Constantine began their new television show, Trinny & Susannah Undress..., on 3 October 2006.	/m/025vt5x	Lisa_Butcher	41	53	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
Her first presenting role was on MTV UK's MTV Select. She would later host a number of other MTV shows before moving to do voice-overs on VH1 and host Lisa Snowdon's All Access for VH1. She took over the role from Lisa Butcher as the "supermodel" judge and host on Britain's Next Top Model. Snowdon left the show to concentrate on her radio show and was replaced by Elle Macpherson as of season six. This later role led to a series of stand-in and guest presenting roles on British terrestrial television, where in June 2007 she guest-presented the BBC's Sunday morning show Something for the Weekend, and, in August, Channel 4's tea time show Richard & Judy alongside David Walliams. In autumn 2007, she was announced as the new co-presenter of Through the Keyhole with Sir David Frost on BBC One. She was a guest panellist on Loose Women in November 2009. She was a guest on the 4th episode of The Real Hustle: Celebrity Scammers where she performed a long con where she had to convince someone that a cheap painting was worth a fortune. The scam was called The Art Attack. Snowdon also appeared as a guest on panel show Celebrity Juice.	She took over the role from Lisa Butcher as the "supermodel" judge and host on Britain's Next Top Model.	/m/025vt5x	Lisa_Butcher	28	40	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
What Not to Wear is a BAFTA Award-nominated makeover reality television show launched by the BBC in 2001. It was presented by Trinny Woodall and Susannah Constantine for five series, bringing the pair to national prominence. After they left, the BBC produced two more series presented by Lisa Butcher and Mica Paris.	After they left, the BBC produced two more series presented by Lisa Butcher and Mica Paris.	/m/025vt5x	Lisa_Butcher	63	75	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
In April 2006, it was announced that Lisa Butcher and Mica Paris would take over as presenters of the BBC show, after Constantine and Woodall signed a contract with ITV to host their new show Trinny & Susannah Undress. The new series hosted by Butcher and Paris managed to reach viewing figures of 4.26 million on 19 October 2006 and the first show of the series attracted 4.2 million viewers. The seventh series, which consisted of eight episodes, was aired on BBC One starting in August 2007. The first episode claimed 3.1 million viewers, about 1 million less than the first episode of the last series.	In April 2006, it was announced that Lisa Butcher and Mica Paris would take over as presenters of the BBC show, after Constantine and Woodall signed a contract with ITV to host their new show Trinny & Susannah Undress.	/m/025vt5x	Lisa_Butcher	37	49	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
Trinny Woodall and Susannah Constantine both defected from the BBC to ITV for a £1.2 million contract, and started their new show, Trinny & Susannah Undress..., on 3 October 2006 which was followed by a second series in June 2007. The first two series saw the pair helping couples with marital problems, where they gave them advice and fashion makeovers to try build confidence and ultimately aim to revive the relationships. Critics questioned Woodall and Constantine's capability of dealing with the serious issues they faced on the programme, but they strongly rejected these claims. Since the transfer to ITV, What Not to Wear on BBC One has been hosted by Lisa Butcher and Mica Paris.	Since the transfer to ITV, What Not to Wear on BBC One has been hosted by Lisa Butcher and Mica Paris.	/m/025vt5x	Lisa_Butcher	74	86	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
White then met 21-year-old model Lisa Butcher at a London nightclub. They were engaged within three weeks. White says today that he was so intoxicated by her looks that he forgot to think about her personality. Engaged for two months, Butcher sold the wedding in a £20,000 deal to Hello! magazine. The wedding took place at the Brompton Oratory on 15 August 1992, where Albert Roux was best man, and Lisa had forgotten to invite his father and brothers. White says he knew the marriage was a mistake when he saw her £3,000 floor-length, backless Bruce Oldfield dress with cutaway sides. White told a reporter that she looked dressed to go down the catwalk rather than the aisle. Butcher says of their 15-week marriage: "We went to the Scilly Isles for our honeymoon. On the first day, Marco turned to me and said, 'I don't love you.' We spent two miserable days when we didn't speak and he went shark fishing. Then I left." In her one interview about the marriage, Butcher has hinted that something unspeakable happened on the honeymoon: "Something very bad did happen but I'm not going to say what it was. It really wasn't a very pleasant experience for me and my family."	White then met 21-year-old model Lisa Butcher at a London nightclub.	/m/025vt5x	Lisa_Butcher	33	45	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
Donoso was previously married to, and fathered two children with UK model Lisa Butcher.	Donoso was previously married to, and fathered two children with UK model Lisa Butcher.	/m/025vt5x	Lisa_Butcher	74	86	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
The show was followed by a short programme entitled 'The Evictees Story' which showed the eliminated model and her journey through the competition. This was then followed by 'Britain's Next Top Model: Confessionals' which showed each girl in the confessional room talking about the other girls which wasn't shown on the show. For the second series 'The Evictees Story' was dropped and 'Confessionals' was dropped for the third. The first cycle was hosted by former supermodel Lisa Butcher and judged along with Marie Helvin and Jonathan Phang.	The first cycle was hosted by former supermodel Lisa Butcher and judged along with Marie Helvin and Jonathan Phang.	/m/025vt5x	Lisa_Butcher	48	60	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
The 12 girls are picked up across Burnley on a tram and are taken to met their host for the competition, Lisa Butcher. They meet their stylist Sinitta and their personal trainer, Kevin Federline. They proceed to Burnley Town Centre for a runway walk wearing no clothes. Later that night, they have dinner with Lisa in a restaurant and eat some delicious toast.	The 12 girls are picked up across Burnley on a tram and are taken to met their host for the competition, Lisa Butcher.	/m/025vt5x	Lisa_Butcher	105	117	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
Lisa Snowdon became the host of this cycle after previous host Lisa Butcher left the show due to her wooden performance in the previous cycle. Also, Marie Helvin was replaced with Paula Hamilton. Jonathan Phang remains as a judge.	Lisa Snowdon became the host of this cycle after previous host Lisa Butcher left the show due to her wooden performance in the previous cycle.	/m/025vt5x	Lisa_Butcher	63	75	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
Lisa Butcher face of the brand was a well known super model in the 90's and was famously married to celeb chef Marco Pierre White. She has represented Long Tall Sally for 4 years as both model and fashion stylist. Pior to working with Long Tall Sally she hosted the TV show "What not to wear" with friend and colleague Mica Paris.	Lisa Butcher face of the brand was a well known super model in the 90's and was famously married to celeb chef Marco Pierre White.	/m/025vt5x	Lisa_Butcher	0	12	/base/fashionmodels/fashion_model,/people/person,/tv/tv_personality
At the age of 14, Elizarova was spotted on the street in her home town by the modelling scout Guia Jikidze (who also discovered Natalia Vodianova, Eugenia Volodina, Irina Shayk, Elena Melnik, and Polina Kouklina). He recommended that she become a model, after which she quickly went on to shoot the cover of Jalouse and star in a number of Russian television commercials and campaigns for brands including Pepsi, Kirin, La Foret and Sok Dobriy.	At the age of 14, Elizarova was spotted on the street in her home town by the modelling scout Guia Jikidze (who also discovered Natalia Vodianova, Eugenia Volodina, Irina Shayk, Elena Melnik, and Polina Kouklina).	/m/03m6h3b	Elena_Melnik	178	190	/base/fashionmodels/fashion_model,/people/person
Saira Mohan - Fashion model and actress.	Saira Mohan - Fashion model and actress.	/m/06465k	Saira_Mohan	0	11	/award/ranked_item,/base/fashionmodels/fashion_model,/film/actor,/people/person
Jansen's friends include Tasha Tilberg, Anouck Lepere, and Marta Berzkalna.	Jansen's friends include Tasha Tilberg, Anouck Lepere, and Marta Berzkalna.	/m/0f0h9z	Tasha_Tilberg	25	38	/base/fashionmodels/fashion_model,/people/person
Sigrid has appeared many editorials for magazines like Vogue Paris, Harper's Bazaar, and Numéro. She appeared on one of the three cover magazine of i-D's June/July issue, alongside Tasha Tilberg and Raquel Zimmermann.	She appeared on one of the three cover magazine of i-D's June/July issue, alongside Tasha Tilberg and Raquel Zimmermann.	/m/0f0h9z	Tasha_Tilberg	84	97	/base/fashionmodels/fashion_model,/people/person
February: Tasha Tilberg	February: Tasha Tilberg	/m/0f0h9z	Tasha_Tilberg	10	23	/base/fashionmodels/fashion_model,/people/person
November: Tasha Tilberg & Sharon Van der Knaap	November: Tasha Tilberg & Sharon Van der Knaap	/m/0f0h9z	Tasha_Tilberg	10	23	/base/fashionmodels/fashion_model,/people/person
